Level	Amount	Paid	Business	Abbrev	website
Tournament	$200.00 	Yes	Alber Hearing Services	alber	http://alberhearing.com/
Tournament	$200.00 	Yes	All States Materials Group	asmg	http://asmg.com/
Tournament	$200.00 	No	New England Greenscape	neg	http://newenglandgreenscape.com/
Tournament	$200.00 	Yes	Polish American Citizens Club	pacc	https://www.facebook.com/pages/South-Deerfield-Polish-American-Club/148452691860926
Tournament	$200.00 	Yes	Sunderland Men's Club	smc	#
Tournament	$150.00 	Yes	Zinn-Keane Family	zinn	#
Tournament	$150.00 	Yes	Osterman Propane	osterman	http://www.ostermangas.com/
Tournament	$150.00 	Yes	Sackrey Construction Company	sackrey	http://sackreyconstruction.com/
Trophy	$100.00 	Yes	Delta Sand and Gravel	delta	http://www.delta-sand.com/
Trophy	$100.00 	No	DeMaio Orthodontics	demaio	http://demaioorthodontics.com/
Trophy	$100.00 	No	Greenfield Savings Bank	gsb	https://www.greenfieldsavings.com/
Trophy	$100.00 	Yes	Kieras Oil, Inc.	kieras	http://kierasoil.com/
Trophy	$100.00 	Yes	One Way Screen Printing	oneway	http://onewayscreenprinting.com/
Trophy	$100.00 	Yes	Roy's Service Station	roys	#
Trophy	$100.00 	Yes	Sigda Flowers and Gifts	sigda	http://www.sigdaflowers.com/
Trophy	$100.00 	Yes	Sunderland Animal Hospital	sah	http://sunderlandvet.com/
Trophy	$100.00 	Yes	Sunderland Corner Store	scs	http://www.sunderlandcornerstore.com/sunderland-corner-store
Trophy	$100.00 	Yes	Sunderland Volunteer Firemen's Association	svfa	http://www.sunderlandfire.com/index.html
Trophy	$100.00 	Yes	Webber & Grinnel	webber	http://www.webberandgrinnell.com/
Gold	$50.00 	Yes	Ahearn's Landscaping	ahearns	#
Gold	$50.00 	No	Anthony M. Maio, Attorney At Law	maio	#
Gold	$50.00 	Yes	Applebee's	applebees	https://www.applebees.com/
Gold	$50.00 	Yes	Billy's Beverages	billys	#
Gold	$50.00 	No	Bridgeside Grille	bridgeside	http://www.bridgesidegrille.com/
Gold	$50.00 	No	Bub's B-B-Q	bubs	http://www.bubsbbq.com/
Gold	$50.00 	Yes	Carol Coombs - Coldwell Banker	coombs	https://www.coldwellbanker.com/agents/carol-coombs-01373
Gold	$50.00 	Yes	Cowls Building Supply	cowls	http://cowlsbuildingsupply.com/
Gold	$50.00 	Yes	Greenfield Cooperative Bank	gcb	https://www.greenfieldcoopbank.com/
Gold	$50.00 	No	Grybko's Garage	grybkos	#
Gold	$50.00 	Yes	Justine Rosewarne - 5 College Realtors	rosewarne	http://5collegerealtors.com/detail_agent.asp?agentid=E0000JJR&site=office&searchtype=ByOffice&office_id=AN1019
Gold	$50.00 	Yes	Millstone Farm Market	millstone	http://www.farmfresh.org/food/member.php?fn=219
Gold	$50.00 	Yes	Mountain View Dance	mvd	http://mountainviewdance.com/
Gold	$50.00 	Yes	Mountain View Healing	mvh	https://www.facebook.com/Mountain-View-Massage-412441065616683/
Gold	$50.00 	Yes	Pekarski's Sausage	pekarskis	https://pekarskis.com/
Gold	$50.00 	No	rk Miles	rkmiles	http://www.rkmiles.com/
Gold	$50.00 	Yes	Sunderland Womans Club	swc	#
Gold	$50.00 		The O's	os	https://www.facebook.com/theosbarsunderland/
Silver	$25.00 	Yes	Blue Heron Restaurant	blueheron	http://blueherondining.com/
Silver	$25.00 	Yes	Channing Bete Company	channingbete	http://www.channing-bete.com/
Silver	$25.00 	Yes	Goten of Japan	goten	http://gotenofjapan.com/
Silver	$25.00 	Yes	McCoy's Place	mccoys	http://www.mccoysplace.biz/
Silver	$25.00 	No	Smiarowski Farm Stand	smiarowski	http://www.farmfresh.org/food/farm.php?farm=1811
Silver	$25.00 	Yes	Susan's Blue Iris Hair Salon	blueiris	#
Silver	$25.00 	Yes	The Whately Inn	whatelyinn	http://whatelyinn.com/
Silver	$25.00 	Yes	Zoar Outdoor	zoar	http://www.zoaroutdoor.com/
Gifts			Arizona Pizza	arizona	http://www.arizonapizza.com/
Gifts			Cinemark	cinemark	https://www.cinemark.com/massachusetts/cinemark-at-hampshire-mall-and-xd
Gifts			Dick's Sporting Goods	dicks	http://stores.dickssportinggoods.com/ma/hadley/176/
Gifts			French King Bowling Alley	fkba	http://www.bowling4fun.com/
Gifts			Interskate 91	interskate	http://interskate91.com/north/
Gifts			Richardson's Candy Kitchen	richardsons	http://www.richardsonscandy.com/candy/
Gifts			Springfield Thunderbirds	thunderbirds	http://www.springfieldthunderbirds.com/
Gifts			Sugarloaf Hair Studio	sugarloafhair	#
Gifts			Top Notch Basketball Camp	topnotch	#
Gifts			Yankee Candle	yankee	http://www.yankeecandle.com/
