Grade	Team	Abbrev	Playing	Mascot
3/4	Conway 1	C1	Yes	Chipmunks
3/4	Conway 2	C2	Yes	Krabby Patties
3/4	Deerfield 1	D1	Yes	Red Pandas
3/4	Deerfield 2	D2	No	
3/4	Hadley 1	HD1	No	
3/4	Hatfield 1	HT1	Yes	Falcons
3/4	Sunderland 1	S1	Yes	Narwhal
3/4	Whately 1	W1	Yes	Tangerines
3/4	Whately 2	W2	Yes	Warriors
5/6	Conway 1	C1	Yes	Cobras
5/6	Deerfield 1	D1	Yes	Blue Leprechauns
5/6	Deerfield 2	D2	Yes	Dinos
5/6	Deerfield 3	D3	Yes	Dynamite
5/6	Hatfield 1	HT1	Yes	Falcons
5/6	Hatfield 2	HT2	Yes	Falcons
5/6	Sunderland 1	S1	Yes	Strikers
5/6	Sunderland 2	S2	Yes	Flying Saucers
5/6	Whately 1	W1	Yes	Lil' Pigs
5/6	Whately 2	W2	Yes	Green Dragons
7/8/9	Team 1	T1	Yes	TM wRECk'n BALLERS
7/8/9	Team 2	T2	Yes	Big Red
7/8/9	Team 3	T3	Yes	The "BUCKS"
7/8/9	Team 4	T4	Yes	Big Chungus
7/8/9	Team 5	T5	Yes	Space Jam
